generation,vial_id,temperature,diet,sex,rep,age,eggs
F0,220,27,1,female,10,33,1
F0,231,27,1.5,female,1,33,0
F0,232,27,1.5,female,2,33,4
F0,233,27,1.5,female,3,33,0
F0,234,27,1.5,female,4,33,1
F0,235,27,1.5,female,5,33,0
F0,236,27,1.5,female,6,33,14
F0,237,27,1.5,female,7,33,0
F0,238,27,1.5,female,8,33,0
F0,239,27,1.5,female,9,33,0
F0,240,27,1.5,female,10,33,0
F0,251,29,0.4,female,1,33,0
F0,252,29,0.4,female,2,33,1
F0,253,29,0.4,female,3,33,0
F0,254,29,0.4,female,4,33,0
F0,255,29,0.4,female,5,33,0
F0,256,29,0.4,female,6,33,0
F0,257,29,0.4,female,7,33,0
F0,258,29,0.4,female,8,33,0
F0,259,29,0.4,female,9,33,0
F0,260,29,0.4,female,10,33,0
F0,271,29,1,female,1,33,0
F0,272,29,1,female,2,33,0
F0,273,29,1,female,3,33,0
F0,274,29,1,female,4,33,0
F0,275,29,1,female,5,33,0
F0,276,29,1,female,6,33,0
F0,277,29,1,female,7,33,0
F0,278,29,1,female,8,33,0
F0,279,29,1,female,9,33,1
F0,280,29,1,female,10,33,0
F0,291,29,1.5,female,1,33,0
F0,292,29,1.5,female,2,33,0
F0,293,29,1.5,female,3,33,0
F0,294,29,1.5,female,4,33,0
F0,295,29,1.5,female,5,33,1
F0,296,29,1.5,female,6,33,0
F0,297,29,1.5,female,7,33,0
F0,298,29,1.5,female,8,33,0
F0,299,29,1.5,female,9,33,0
F0,300,29,1.5,female,10,33,0
